citation_key,first_author,year,location_snippet
aguilera_2012,Aguilera,2012,"th a DNA duplex template that disrupts a non-template chain (Aguilera and García-Muse, 2012). Due to impaired processing of mRNA and negative supercoili"
aktas_2019,Aktas,2019,"an lead to the development and progression of breast cancer (Aktas et al., 2019)."
anderson_2021,Anderson,2021,"is also the primary cause of death from any cancer in women (Anderson et al., 2021). BC is a heterogenous disease consisting of more than 100 r"
arentson_2002,Arentson,2002,"transformation and tumorigenesis in immunocompromised mice (Seo et al., 2005; Arentson et al., 2002). In mice that were p53 deficient, thymic lymphoblastic leuk"
arlt_2009,Arlt,2009,"treatment with aphidicolin that induces replication stress (Arlt et al., 2009)."
attalla_2021,Attalla,2021,"human breast cancer, both genetically and by histopathology (Attalla et al., 2021). In the MCF-7 xenograft model, human breast cancer cells ar"
avci_2025,Avci,2025,"mproving therapeutic strategies across diverse cancer types (Avci et al., 2025). A major application of WGS in cancer research is the compr"
avis_2008,Avis,2008,"Although cancer is primarily a disease of aging (Avis and Deimling, 2008), where older people have higher incidence rates of all canc"
bahn_2007,Bahn,2007,"n, which means that it is a known cause of cancer in humans (Bahn et al., 2007; Rehm et al., 2020). Smoking is linked primarily to lung cancer as well as othe"
balloux_2018,Balloux,2018,"es and the genetic factors that affect health and wellbeing (Balloux et al., 2018). One of the key use-cases for WGS is identifying genetic va"
banerji_2012,Banerji,2012,"e is extensive intratumoural genetic heterogeneity (Fig. 7) (Banerji et al., 2012; Ellis and Perou, 2013; Shah et al., 2012). The subclones formed due to this somatic heterogeneity hav"
barlow_2013,Barlow,2013,"polymerase II, which can block the progression of the fork (Barlow et al., 2013). An ‘R’ loop, a DNA-RNA hybrid, is formed during transcript"
barta_2019,Barta,2019,"her parts of the body and is still the main cancer globally (Barta et al., 2019). Some studies offer that many cancers could be prevented by"
bartkova_2005,Bartkova,2005,"abling pathways that invoke cell cycle arrest and apoptosis (Bartkova et al., 2005). The initial connections investigated between oncogenes and"
bartkova_2006,Bartkova,2006,"ress and therefore can often be the cause of carcinogenesis (Bartkova et al., 2006; Diffley, 2011)."
bednarek_2000,Bednarek,2000,"est known CFSs induced by APH are known as FRA3B and FRA16D (Bednarek et al., 2000). It has been observed that many CFSs that are inducible by"
beyaz_2022,Beyaz,2022,"ullerene C60 has a therapeutic effect against breast cancer (Beyaz et al, 2022). Cats have also been used as a model of breast cancer. In a"
bilousova_2005,Bilousova,2005,"lls with a significant survival advantage over normal cells (Bilousova et al., 2005). Solaiman (2021) characterised replication stress-associate"
bochman_2012,Bochman,2012,"gene expression is a potential source of replication stress (Bochman et al., 2012)."
